bar,address
Joseph's Steakhouse,"212 S Clinton St, Iowa City, Iowa"
Pretty Nails And Spa,"302 Highway 1 WestRoosevelt, Iowa City, Iowa"
ARAMARK,"965 Stadium Drive, Iowa City, Iowa"
ARAMARK,"456 Carver Hawkeye Arena, Iowa City, Iowa"
Sanctuary,"405 S Gilbert Street, Iowa City, Iowa"
Peppercorn Food Company,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Sanctuary,"405 S Gilbert Street, Iowa City, Iowa"
New Pioneer Food Co-op,"22 South Van Buren Street, Iowa City, Iowa"
La Rumba Latino Bar,"1859 Lower Muscatine, Iowa City, Iowa"
Jimmy Jack's Rib Shack,"1940 Lower Muscatine Road, Iowa City, Iowa"
Jimmy Jack's Rib Shack,"1940 Lower Muscatine Road, Iowa City, Iowa"
Joystick,"13 S. Linn St. #10, Iowa City, Iowa"
CVS/pharmacy #8539,"201 South Clinton Street, Iowa City, Iowa"
Willow & Stock,"207 North Linn Street, Iowa City, Iowa"
Jimmy Jack's Rib Shack,"1940 Lower Muscatine Road, Iowa City, Iowa"
ARAMARK,"456 Carver Hawkeye Arena, Iowa City, Iowa"
GOODSTOP BY CASEY'S #4366,"525 Highway 1 West, Iowa City, Iowa"
ARAMARK,"960 Evashevski Drive, Iowa City, Iowa"
Prairie Kitchen Store,"160 N Linn Street, Iowa City, Iowa"
Aramark,"105 1st Avenue, Iowa City, Iowa"
Peppercorn Food Company,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
KWIK SPIRITS #537,"923 S Riverside Dr, Iowa City, Iowa"
The Crown Liquor & Smoke,"19 Highway 1 West Roosevelt, Iowa City, Iowa"
University of Iowa,"202 Plaza Centre One, Iowa City, Iowa"
Trumpet Blossom Cafe,"310 E. Prentiss St., Iowa City, Iowa"
Onnuri Korean BBQ,"624 S GILBERT ST B, Iowa City, Iowa"
CASEY'S #4369,"206 East Benton Street, Iowa City, Iowa"
Perkins/Petersen Wedding,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Cortado,"26 South Clinton Street, Iowa City, Iowa"
Best Case Wines,"3576 Dolphin Drive, Suite C, Iowa City, Iowa"
Aramark,"105 1st Avenue, Iowa City, Iowa"
Gopuff,"1907 Stevens Drive, Iowa City, Iowa"
Bouska Wedding,"4696 Robin Woods Lane Northeast, Iowa City, Iowa"
"Sams Pizza IC, Inc.","441 S Gilbert, Iowa City, Iowa"
Twelve 01 Kitchen & Tap/Radisson,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
University of Iowa,"202 Plaza Centre One, Iowa City, Iowa"
Casey's General Store #3322,"1904 Broadway St, Iowa City, Iowa"
New Pioneer Food Co-op,"22 South Van Buren Street, Iowa City, Iowa"
Weekes-Van Eck Post # 3949 Veterans Of Foreign Wars,"609 Highway 6 East, Iowa City, Iowa"
Gabriela Navarro,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Colonial Lanes,"2253 Highway 218 South, Iowa City, Iowa"
ARAMARK,"456 Carver Hawkeye Arena, Iowa City, Iowa"
OMEGA PUFF LLC,"106 S LINN ST, IOWA CITY, Iowa"
Southside Liquor & Tobacco,"1921 Keokuk Street, Iowa City, Iowa"
ARAMARK,"456 Carver Hawkeye Arena, Iowa City, Iowa"
Walgreens #05077,"2214 Muscatine Ave, Iowa City, Iowa"
North Dodge Amoco,"2153 ACT Circle, Iowa City, Iowa"
Urban Fuel Express,"2580 Moss Ridge Road, Iowa City, Iowa"
LOS AMIGOS GRILL MEXICAN RESTAURANT,"21 Sturgis Corner Drive, Iowa City, Iowa"
Coa Cantina Iowa City,"18 1/2 South Clinton Street, Iowa City, Iowa"
iowa city fieldhouse,"118 s dubuque st, Iowa City, Iowa"
Hawkeye Smoke and Liquor,"108 E College St, Iowa City, Iowa"
Graduate Iowa City,"210 South Dubuque Street, Iowa City, Iowa"
Target Store T-3374,"113 E Washington St, Iowa City, Iowa"
Best Case Wines,"3576 Dolphin Drive, Suite C, Iowa City, Iowa"
Riverside Theatre,"200 E Park Rd, Iowa City, Iowa"
The Crown Liquor,"324 East Washington Street, Iowa City, Iowa"
Apres Bar Co,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
The Basket Cases,"601 Saint Thomas Ct, Iowa City, Iowa"
Hy-Vee Drugstore,"310 N 1st Ave, Iowa City, Iowa"
TOP SHELF LIQUOR,"412 Highway 1, Iowa City, Iowa"
HYATT PLACE IOWA CITY,"255 E Court St, Iowa City, Iowa"
"CACTUS 3, LLC","114 S CLINTON ST., Iowa City, Iowa"
